"","Y","X","power"
"X...1","t2_ln_crp","vitD_nmol_per_L",0.0501008399707215
"X...2","t2_ln_agp","vitD_nmol_per_L",0.0501452852759225
"X...3","t2_ln_ifn","vitD_nmol_per_L",0.050370406085611
"X...4","sumscore_t2_Z","vitD_nmol_per_L",0.0507398732405107
"X...5","t3_ln_crp","vitD_nmol_per_L",0.0501731961642299
"X...6","t3_ln_agp","vitD_nmol_per_L",0.0500030668610487
"X...7","t3_ln_ifn","vitD_nmol_per_L",0.0500740568504279
"X...8","sumscore_t3_Z","vitD_nmol_per_L",0.0500101992779739
"X...9","t2_ln_crp","logFERR_inf",0.265006141510675
"X...10","t2_ln_agp","logFERR_inf",0.101492463359114
"X...11","t2_ln_ifn","logFERR_inf",0.227287776594726
"X...12","sumscore_t2_Z","logFERR_inf",0.674142957841489
"X...13","t3_ln_crp","logFERR_inf",0.0635695135005731
"X...14","t3_ln_agp","logFERR_inf",0.0897407124787719
"X...15","t3_ln_ifn","logFERR_inf",0.0853291856043502
"X...16","sumscore_t3_Z","logFERR_inf",0.062235821794056
"X...17","t2_ln_crp","logSTFR_inf",0.091115200892104
"X...18","t2_ln_agp","logSTFR_inf",0.234220084899186
"X...19","t2_ln_ifn","logSTFR_inf",0.0566014682197281
"X...20","sumscore_t2_Z","logSTFR_inf",0.109525067219016
"X...21","t3_ln_crp","logSTFR_inf",0.999999868743802
"X...22","t3_ln_agp","logSTFR_inf",0.279487188900333
"X...23","t3_ln_ifn","logSTFR_inf",0.113361859290114
"X...24","sumscore_t3_Z","logSTFR_inf",0.0503960046759987
"X...25","t2_ln_crp","logRBP_inf",0.999999631174122
"X...26","t2_ln_agp","logRBP_inf",0.106342371368007
"X...27","t2_ln_ifn","logRBP_inf",0.534129418946233
"X...28","sumscore_t2_Z","logRBP_inf",0.99977668749514
"X...29","t3_ln_crp","logRBP_inf",0.955759279356311
"X...30","t3_ln_agp","logRBP_inf",0.415396987582419
"X...31","t3_ln_ifn","logRBP_inf",0.971604202364477
"X...32","sumscore_t3_Z","logRBP_inf",0.992835228896253
"X...33","t2_ln_crp","vit_A_def",0.946309584063282
"X...34","t2_ln_agp","vit_A_def",0.881603450758298
"X...35","t2_ln_ifn","vit_A_def",0.402122602912428
"X...36","sumscore_t2_Z","vit_A_def",0.999999998535209
"X...37","t3_ln_crp","vit_A_def",0.998951326813452
"X...38","t3_ln_agp","vit_A_def",0.725339979408568
"X...39","t3_ln_ifn","vit_A_def",0.843673913575697
"X...40","sumscore_t3_Z","vit_A_def",0.998149193189695
"X...41","t2_ln_crp","iron_def",0.999547387740053
"X...42","t2_ln_agp","iron_def",0.785214849372507
"X...43","t2_ln_ifn","iron_def",0.0919400833473269
"X...44","sumscore_t2_Z","iron_def",0.501326843515372
"X...45","t3_ln_crp","iron_def",0.771542108210067
"X...46","t3_ln_agp","iron_def",0.270495426820642
"X...47","t3_ln_ifn","iron_def",0.34486666726514
"X...48","sumscore_t3_Z","iron_def",0.545492874525103
"X...49","t2_ln_crp","vit_D_def",0.982263504113692
"X...50","t2_ln_agp","vit_D_def",0.0698089085489328
"X...51","t2_ln_ifn","vit_D_def",0.651427351570558
"X...52","sumscore_t2_Z","vit_D_def",0.677069952922896
"X...53","t3_ln_crp","vit_D_def",0.297389244021441
"X...54","t3_ln_agp","vit_D_def",0.0613209207781226
"X...55","t3_ln_ifn","vit_D_def",0.0501480757975785
"X...56","sumscore_t3_Z","vit_D_def",0.193252136816965
"X...57","t2_ln_crp","ln_preg_cort",0.987147626039625
"X...58","t2_ln_agp","ln_preg_cort",0.0590852808595456
"X...59","t2_ln_ifn","ln_preg_cort",0.188770095623102
"X...60","sumscore_t2_Z","ln_preg_cort",0.513029780787025
"X...61","t3_ln_crp","ln_preg_cort",0.999967125808649
"X...62","t3_ln_agp","ln_preg_cort",0.182761076390676
"X...63","t3_ln_ifn","ln_preg_cort",0.206959560336302
"X...64","sumscore_t3_Z","ln_preg_cort",0.5298957362872
"X...65","t2_ln_crp","logCRP",0.0845626869937454
"X...66","t2_ln_agp","logCRP",0.0539622313122901
"X...67","t2_ln_ifn","logCRP",0.0529911585972193
"X...68","sumscore_t2_Z","logCRP",0.0500180122192578
"X...69","t3_ln_crp","logCRP",0.0523885897042092
"X...70","t3_ln_agp","logCRP",0.148283317850061
"X...71","t3_ln_ifn","logCRP",0.064450047821445
"X...72","sumscore_t3_Z","logCRP",0.0929638643539287
"X...73","t2_ln_crp","logAGP",0.414987289429259
"X...74","t2_ln_agp","logAGP",0.160194461461132
"X...75","t2_ln_ifn","logAGP",0.0701901091484462
"X...76","sumscore_t2_Z","logAGP",0.160501917019139
"X...77","t3_ln_crp","logAGP",0.931934219145807
"X...78","t3_ln_agp","logAGP",0.308485638201724
"X...79","t3_ln_ifn","logAGP",0.143585548386806
"X...80","sumscore_t3_Z","logAGP",0.0514197961283728
"X...81","t2_ln_crp","mom_t0_ln_ifn",0.0732163273287913
"X...82","t2_ln_agp","mom_t0_ln_ifn",0.0530834974158759
"X...83","t2_ln_ifn","mom_t0_ln_ifn",0.510116163028974
"X...84","sumscore_t2_Z","mom_t0_ln_ifn",0.573979242652297
"X...85","t3_ln_crp","mom_t0_ln_ifn",0.909203270533493
"X...86","t3_ln_agp","mom_t0_ln_ifn",0.113875249045897
"X...87","t3_ln_ifn","mom_t0_ln_ifn",0.108844638670162
"X...88","sumscore_t3_Z","mom_t0_ln_ifn",0.176241962706984
"X...89","t2_ln_crp","sumscore_t0_mom_Z",0.0949063812861175
"X...90","t2_ln_agp","sumscore_t0_mom_Z",0.0777267830798374
"X...91","t2_ln_ifn","sumscore_t0_mom_Z",0.124918026732394
"X...92","sumscore_t2_Z","sumscore_t0_mom_Z",0.19413718958937
"X...93","t3_ln_crp","sumscore_t0_mom_Z",0.334906428042483
"X...94","t3_ln_agp","sumscore_t0_mom_Z",0.0719660312374319
"X...95","t3_ln_ifn","sumscore_t0_mom_Z",0.0735010483085637
"X...96","sumscore_t3_Z","sumscore_t0_mom_Z",0.129329912583817
"X...97","t2_ln_crp","ln_preg_estri",0.409589073211708
"X...98","t2_ln_agp","ln_preg_estri",0.100341038186884
"X...99","t2_ln_ifn","ln_preg_estri",0.0506007140218506
"X...100","sumscore_t2_Z","ln_preg_estri",0.0519669112833208
"X...101","t3_ln_crp","ln_preg_estri",0.857339095672349
"X...102","t3_ln_agp","ln_preg_estri",0.0619967540368372
"X...103","t3_ln_ifn","ln_preg_estri",0.0521202338440553
"X...104","sumscore_t3_Z","ln_preg_estri",0.0780521313440251
